rebalance_date,ticker,target_weight
2020-01-31,NVDA,0.05
2020-01-31,GOOGL,0.05
2020-01-31,TSLA,0.05
2020-01-31,AVGO,0.05
2020-01-31,AMZN,0.05
2020-01-31,GS,0.05
2020-01-31,AAPL,0.05
2020-01-31,MS,0.05
2020-01-31,V,0.05
2020-01-31,MA,0.05
2020-01-31,CRM,0.05
2020-01-31,NFLX,0.05
2020-01-31,PEP,0.05
2020-01-31,KO,0.05
2020-01-31,AXP,0.05
2020-01-31,LLY,0.05
2020-01-31,JNJ,0.05
2020-01-31,MSFT,0.05
2020-01-31,COST,0.05
2020-01-31,MCD,0.05
2020-02-28,NVDA,0.05
2020-02-28,AVGO,0.05
2020-02-28,GOOGL,0.05
2020-02-28,TSLA,0.05
2020-02-28,AMZN,0.05
2020-02-28,NFLX,0.05
2020-02-28,ABBV,0.05
2020-02-28,META,0.05
2020-02-28,WFC,0.05
2020-02-28,WMT,0.05
2020-02-28,AAPL,0.05
2020-02-28,MA,0.05
2020-02-28,SPY,0.05
2020-02-28,BAC,0.05
2020-02-28,ADBE,0.05
2020-02-28,CAT,0.05
2020-02-28,V,0.05
2020-02-28,GS,0.05
2020-02-28,MSFT,0.05
2020-02-28,PEP,0.05
2020-03-31,NVDA,0.05
2020-03-31,AVGO,0.05
2020-03-31,GOOGL,0.05
2020-03-31,AMZN,0.05
2020-03-31,NFLX,0.05
2020-03-31,AAPL,0.05
2020-03-31,LLY,0.05
2020-03-31,JNJ,0.05
2020-03-31,WMT,0.05
2020-03-31,MSFT,0.05
2020-03-31,ORCL,0.05
2020-03-31,UNH,0.05
2020-03-31,V,0.05
2020-03-31,COST,0.05
2020-03-31,PG,0.05
2020-03-31,MA,0.05
2020-03-31,ADBE,0.05
2020-03-31,META,0.05
2020-03-31,PEP,0.05
2020-03-31,AMD,0.05
2020-04-30,NVDA,0.05
2020-04-30,GOOGL,0.05
2020-04-30,AVGO,0.05
2020-04-30,AMZN,0.05
2020-04-30,TSLA,0.05
2020-04-30,META,0.05
2020-04-30,AAPL,0.05
2020-04-30,CVX,0.05
2020-04-30,COP,0.05
